Payment Date,10/15/17,01/15/18,04/15/18,07/15/18,10/15/18,01/15/19,04/15/19,07/15/19,10/15/19,01/15/20,04/15/20,07/15/20,10/15/20,01/15/21,04/15/21,07/15/21,10/15/21,01/15/22,04/15/22,07/15/22,10/15/22,01/15/23,04/15/23,07/15/23,10/15/23,01/15/24,04/15/24,07/15/24,10/15/24,01/15/25,04/15/25,07/15/25,10/15/25,01/15/26,04/15/26,07/15/26,10/15/26,01/15/27,04/15/27,07/15/27,10/15/27,01/15/28,04/15/28,07/15/28,10/15/28,01/15/29,04/15/29,07/15/29,10/15/29,01/15/30,04/15/30,07/15/30,10/15/30,01/15/31,04/15/31,07/15/31,10/15/31,01/15/32,04/15/32,07/15/32,10/15/32,01/15/33,04/15/33,07/15/33,10/15/33,01/15/34,04/15/34,07/15/34,10/15/34,01/15/35,04/15/35,07/15/35,10/15/35,01/15/36,04/15/36,07/15/36,10/15/36,01/15/37,04/15/37,07/15/37,10/15/37,01/15/38,04/15/38,07/15/38,10/15/38,01/15/39,04/15/39,07/15/39,10/15/39,01/15/40,04/15/40,07/15/40,10/15/40,01/15/41,04/15/41,07/15/41,10/15/41,01/15/42,04/15/42,07/15/42,10/15/42,01/15/43,04/15/43,07/15/43,10/15/43,01/15/44,04/15/44,07/15/44,10/15/44,01/15/45,04/15/45,07/15/45,10/15/45,01/15/46,04/15/46,07/15/46,10/15/46,01/15/47,04/15/47,07/15/47,10/15/47,01/15/48,04/15/48,07/15/48,10/15/48,01/15/49,04/15/49,07/15/49,10/15/49,01/15/50,04/15/50,07/15/50,10/15/50,01/15/51,04/15/51,07/15/51,10/15/51,01/15/52,04/15/52,07/15/52,
Is In Reinvestment Period,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Is In Default Period,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Accrual Period,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,
Libor Forward Rates,0.004239,0.004275,0.004295,0.004225,0.00422,0.004235,0.004235,0.004238,0.00424,0.004245,0.004255,0.004255,0.00426,0.00425,0.004253,0.004265,0.004255,0.004306,0.004306,0.00428,0.004262,0.00425,0.00427,0.004285,0.004285,0.004277,0.004289,0.004293,0.004285,0.004265,0.004305,0.004293,0.004295,0.004301,0.00432,0.004335,0.004335,0.004358,0.004338,0.004385,0.004385,0.004405,0.004353,0.004376,0.004405,0.00438,0.004405,0.004419,0.00438,0.004381,0.004362,0.004413,0.004413,0.004399,0.004321,0.004283,0.004318,0.004315,0.004315,0.004315,0.00433,0.00435,0.004329,0.00434,0.004373,0.004374,0.004402,0.004385,0.00439,0.004365,0.004347,0.004379,0.004387,0.004373,0.004347,0.004345,0.00434,0.004362,0.004387,0.004385,0.00443,0.004433,0.00446,0.004442,0.004497,0.004545,0.004567,0.004689,0.004696,0.004631,0.004648,0.004471,0.004458,0.004453,0.004471,0.004466,0.004421,0.004423,0.004461,0.004481,0.004478,0.004481,0.004508,0.004521,0.004533,0.004493,0.004588,0.004603,0.004666,0.004676,0.004696,0.004703,0.004726,0.004743,0.004758,0.004779,0.004794,0.004814,0.004821,0.004833,0.004866,0.004853,0.004874,0.004879,0.004904,0.004909,0.004927,0.004957,0.004939,0.004959,0.004939,0.004939,0.004969,0.004984,0.005039,0.005119,0.005132,0.005177,0.005077,0.005067,
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Iniital Portfolio Balance,9e+08,9.00402e+08,8.87521e+08,8.10429e+08,7.04526e+08,5.91549e+08,4.84892e+08,3.92342e+08,3.12436e+08,2.45399e+08,1.90979e+08,1.47944e+08,1.13887e+08,8.69164e+07,6.60138e+07,5.02616e+07,3.8005e+07,2.85465e+07,2.13785e+07,1.60802e+07,1.48222e+08,1.39541e+08,1.31366e+08,1.23824e+08,1.16637e+08,1.09796e+08,1.03352e+08,9.73453e+07,9.16848e+07,8.62956e+07,8.12202e+07,7.65377e+07,7.20763e+07,6.78288e+07,6.38286e+07,6.01382e+07,5.66219e+07,5.32742e+07,5.01215e+07,4.72128e+07,4.44415e+07,4.18031e+07,3.93182e+07,3.70019e+07,3.48191e+07,3.27409e+07,3.07836e+07,2.8978e+07,2.72576e+07,2.56197e+07,2.40771e+07,2.2654e+07,2.12981e+07,2.00072e+07,1.87914e+07,1.76698e+07,1.66011e+07,1.55837e+07,1.46254e+07,1.37322e+07,1.28905e+07,1.20891e+07,1.13343e+07,1.06381e+07,9.97468e+06,9.34304e+06,8.74818e+06,8.19944e+06,7.67658e+06,7.17875e+06,6.70991e+06,6.27743e+06,5.86534e+06,5.47297e+06,5.10345e+06,4.75902e+06,4.43444e+06,4.12538e+06,3.83432e+06,3.56586e+06,3.31005e+06,3.06646e+06,2.83706e+06,2.62548e+06,2.42386e+06,2.23188e+06,2.05107e+06,1.88432e+06,1.72542e+06,1.5741e+06,1.43159e+06,1.29878e+06,1.17362e+06,1.05443e+06,942174,838681,740041,646094,557617,476058,398317,324267,254528,190258,128987,70619.1,15649.4,-35557.7,-83813.6,-129791,-173092,-212972,-251003,-287246,-321379,-352800,-382773,-411343,-438251,-463006,-486627,-509151,-530363,-550102,-568703,-586448,-603160,-618509,-633168,-647159,-660336,-672424,-683975,-695008,-705399,-714916,-724019,-732721,-740916,-748520,
Scheduled Prepayment (%),0.050411,0.0478483,0.0450936,0.0357646,0.0296662,0.0250942,0.0212706,0.0190386,0.0172397,0.0155892,0.0140724,0.0129569,0.0121371,0.0112952,0.0103329,0.00982865,0.00937303,0.00886285,0.00822261,0.00791718,0.000619355,0.000467255,0.000344853,0.000264965,0.000202836,0.00015304,0.000114217,8.64922e-05,6.62193e-05,4.99688e-05,3.68879e-05,2.83496e-05,2.1708e-05,1.63834e-05,1.20966e-05,9.29832e-06,7.12131e-06,5.37567e-06,3.96996e-06,3.05229e-06,2.33823e-06,1.76552e-06,1.3187e-06,9.99449e-07,7.65875e-07,5.78483e-07,4.27485e-07,3.28887e-07,2.52126e-07,1.90519e-07,1.40853e-07,1.08418e-07,8.31565e-08,6.2872e-08,4.65098e-08,3.58218e-08,2.74936e-08,2.0802e-08,1.55713e-08,1.18287e-08,9.08652e-09,6.88144e-09,5.09961e-09,3.935e-09,3.02622e-09,2.29465e-09,1.70273e-09,1.3157e-09,1.01336e-09,7.69638e-10,5.72109e-10,4.42883e-10,3.41797e-10,2.60162e-10,1.96003e-10,1.49918e-10,1.16017e-10,8.8573e-11,6.62121e-11,5.15628e-11,4.0055e-11,3.07086e-11,2.30616e-11,1.80478e-11,1.40966e-11,1.08732e-11,8.2207e-12,6.4805e-12,5.1034e-12,3.97309e-12,3.06903e-12,2.41284e-12,1.92542e-12,1.5221e-12,1.18355e-12,9.62935e-13,7.86917e-13,6.40169e-13,5.15364e-13,4.37185e-13,3.76779e-13,3.28715e-13,2.90968e-13,2.81913e-13,2.99847e-13,3.88982e-13,1.23315e-12,-3.87098e-13,-1.18422e-13,-5.43132e-14,-2.82966e-14,-1.66558e-14,-1.01906e-14,-6.32454e-15,-3.92758e-15,-2.59113e-15,-1.72214e-15,-1.13818e-15,-7.42252e-16,-5.08819e-16,-3.49095e-16,-2.36973e-16,-1.5982e-16,-1.09902e-16,-7.66572e-17,-5.27976e-17,-3.56674e-17,-2.51903e-17,-1.7744e-17,-1.233e-17,-8.39596e-18,-5.97129e-18,-4.23312e-18,-2.95881e-18,-2.0255e-18,-1.44739e-18,-1.03058e-18,-7.23268e-19,-5.02491e-19,-3.54762e-19,
Scheduled Prepayments ($),4.53699e+07,4.30827e+07,4.00215e+07,2.89847e+07,2.09006e+07,1.48445e+07,1.03139e+07,7.46965e+06,5.3863e+06,3.82557e+06,2.68754e+06,1.9169e+06,1.38226e+06,981736,682111,494004,356222,253003,175787,127310,91802,65201.5,45302,32809,23658.3,16803.1,11804.5,8419.61,6071.31,4312.09,2996.04,2169.82,1564.64,1111.27,772.11,559.184,403.222,286.385,198.98,144.107,103.914,73.8043,51.849,36.9815,26.667,18.94,13.1595,9.5305,6.87236,4.88103,3.39134,2.45611,1.77108,1.25789,0.873983,0.632963,0.456424,0.324171,0.227737,0.162434,0.11713,0.0831904,0.0578007,0.0418609,0.0301855,0.021439,0.0148958,0.010788,0.00777912,0.00552504,0.0038388,0.00278017,0.00200476,0.00142386,0.00100029,0.000713461,0.00051447,0.000365398,0.000253879,0.000183866,0.000132584,9.41666e-05,6.5427e-05,4.73841e-05,3.41683e-05,2.42677e-05,1.68612e-05,1.22114e-05,8.8055e-06,6.25403e-06,4.39358e-06,3.13374e-06,2.25971e-06,1.60494e-06,1.11511e-06,8.07596e-07,5.8235e-07,4.13609e-07,2.87376e-07,2.08126e-07,1.50078e-07,1.06591e-07,7.40596e-08,5.3636e-08,3.86765e-08,2.74696e-08,1.9298e-08,1.37643e-08,9.92535e-09,7.04939e-09,4.89792e-09,3.54721e-09,2.55786e-09,1.8167e-09,1.26224e-09,9.14151e-10,6.59187e-10,4.68181e-10,3.25293e-10,2.35586e-10,1.69879e-10,1.20655e-10,8.47626e-11,6.04572e-11,4.35952e-11,3.09631e-11,2.15132e-11,1.55804e-11,1.12349e-11,7.97949e-12,5.54416e-12,4.01523e-12,2.89535e-12,2.0564e-12,1.42878e-12,1.03477e-12,7.46161e-13,5.29954e-13,3.72303e-13,2.65547e-13,
Constant Prepayment Rate,0,0,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.246575,0.249315,0.252055,0.252055,0.249315,0.249315,
Unscheduled Prepayments ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
